Entry,Entry Name,Protein names,Gene Names,Gene Ontology (GO)
A4D0W7,A4D0W7_HUMAN,Protein Wnt,WNT16 hCG_33084 tcag7.91,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; neuron differentiation [GO:0030182]
A4D0W8,A4D0W8_HUMAN,Protein Wnt,WNT16 hCG_33084 tcag7.91,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; neuron differentiation [GO:0030182]
A4D0Y8,A4D0Y8_HUMAN,Leptin (Obesity factor),LEP hCG_33000 tcag7.84,cytosol [GO:0005829]; extracellular space [GO:0005615]; DNA binding [GO:0003677]; hormone activity [GO:0005179]; peptide hormone receptor binding [GO:0051428]; adipose tissue development [GO:0060612]; adult feeding behavior [GO:0008343]; aorta development [GO:0035904]; bile acid metabolic process [GO:0008206]; bone growth [GO:0098868]; bone mineralization involved in bone maturation [GO:0035630]; cardiac muscle hypertrophy [GO:0003300]; cellular response to insulin stimulus [GO:0032869]; cellular response to L-ascorbic acid [GO:0071298]; cellular response to retinoic acid [GO:0071300]; central nervous system neuron development [GO:0021954]; cholesterol metabolic process [GO:0008203]; circadian rhythm [GO:0007623]; determination of adult lifespan [GO:0008340]; eating behavior [GO:0042755]; elastin metabolic process [GO:0051541]; energy reserve metabolic process [GO:0006112]; fatty acid beta-oxidation [GO:0006635]; female pregnancy [GO:0007565]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glycerol biosynthetic process [GO:0006114]; hormone metabolic process [GO:0042445]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; leukocyte tethering or rolling [GO:0050901]; negative regulation of apoptotic process [GO:0043066]; negative regulation of appetite by leptin-mediated signaling pathway [GO:0038108]; negative regulation of autophagy [GO:0010507]; negative regulation of cartilage development [GO:0061037]; negative regulation of glucagon secretion [GO:0070093]; negative regulation of glutamine transport [GO:2000486]; negative regulation of lipid storage [GO:0010888]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vasoconstriction [GO:0045906]; ovulation from ovarian follicle [GO:0001542]; phagocytosis [GO:0006909]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of fat cell apoptotic process [GO:1904651]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of hepatic stellate cell activation [GO:2000491]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of monoatomic ion transport [GO:0043270]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035360]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of TOR signaling [GO:0032008]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of blood pressure [GO:0008217]; regulation of bone remodeling [GO:0046850]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell cycle [GO:0051726]; regulation of gluconeogenesis [GO:0006111]; regulation of insulin secretion [GO:0050796]; regulation of intestinal cholesterol absorption [GO:0030300]; regulation of lipoprotein lipid oxidation [GO:0060587]; regulation of steroid biosynthetic process [GO:0050810]; response to activity [GO:0014823]; response to dietary excess [GO:0002021]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to vitamin E [GO:0033197]; T cell differentiation [GO:0030217]
A4D125,A4D125_HUMAN,Sclerostin domain-containing protein 1,SOSTDC1 hCG_19295 tcag7.902,extracellular space [GO:0005615]; BMP binding [GO:0036122]; BMP signaling pathway [GO:0030509]; canonical Wnt signaling pathway [GO:0060070]; epithelial cell fate commitment [GO:0072148]; hair follicle morphogenesis [GO:0031069]; mammary gland bud morphogenesis [GO:0060648]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell fate commitment [GO:0010454]; odontogenesis of dentin-containing tooth [GO:0042475]; pattern specification process [GO:0007389]
A4D1B1,A4D1B1_HUMAN,Platelet glycoprotein 4 (Glycoprotein IIIb) (PAS IV) (PAS-4) (Platelet glycoprotein IV),CD36 hCG_17062 tcag7.257,"apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; caveola [GO:0005901]; collagen trimer [GO:0005581]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; high-density lipoprotein particle binding [GO:0008035]; lipoteichoic acid immune receptor activity [GO:0070892]; low-density lipoprotein particle binding [GO:0030169]; low-density lipoprotein particle receptor activity [GO:0005041]; scavenger receptor activity [GO:0005044]; amyloid fibril formation [GO:1990000]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; apoptotic cell clearance [GO:0043277]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; cellular response to bacterial lipopeptide [GO:0071221]; cellular response to hydroperoxide [GO:0071447]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cholesterol import [GO:0070508]; defense response to Gram-positive bacterium [GO:0050830]; energy homeostasis [GO:0097009]; intestinal cholesterol absorption [GO:0030299]; lipid storage [GO:0019915]; lipoprotein transport [GO:0042953]; long-chain fatty acid import into cell [GO:0044539]; low-density lipoprotein particle clearance [GO:0034383]; low-density lipoprotein particle mediated signaling [GO:0055096]; MAPK cascade [GO:0000165]; negative regulation of gene expression [GO:0010629]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of transcription by RNA polymerase II [GO:0000122]; phagocytosis, recognition [GO:0006910]; positive regulation of blood coagulation [GO:0030194]; positive regulation of blood microparticle formation [GO:2000334]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cholesterol storage [GO:0010886]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of tumor necrosis factor production [GO:0032760]; receptor internalization [GO:0031623]; regulation of action potential [GO:0098900]; regulation of removal of superoxide radicals [GO:2000121]; response to linoleic acid [GO:0070543]; response to stilbenoid [GO:0035634]; sensory perception of taste [GO:0050909]; triglyceride transport [GO:0034197]"
A4D1U7,A4D1U7_HUMAN,"C-type (Calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5 (C-type lectin domain family 5, member A, isoform CRA_b) (cDNA FLJ78045, highly similar to Homo sapiens C-type lectin domain family 5, member A (CLEC5A), mRNA)",CLECSF5 CLEC5A hCG_39448 tcag7.335,cell surface [GO:0009986]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; carbohydrate binding [GO:0030246]; virus receptor activity [GO:0001618]; innate immune response [GO:0045087]; myeloid cell differentiation [GO:0030099]; negative regulation of myeloid cell apoptotic process [GO:0033033]; osteoblast development [GO:0002076]; positive regulation of cytokine production [GO:0001819]
A4D1W7,A4D1W7_HUMAN,Inhibin beta A chain (Activin beta-A chain),INHBA hCG_17267 tcag7.474,inhibin A complex [GO:0043512]; perinuclear region of cytoplasm [GO:0048471]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; hormone activity [GO:0005179]; protein-containing complex binding [GO:0044877]; autophagy [GO:0006914]; cardiac fibroblast cell development [GO:0060936]; cellular response to angiotensin [GO:1904385]; cellular response to cholesterol [GO:0071397]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to hypoxia [GO:0071456]; cellular response to oxygen-glucose deprivation [GO:0090650]; cytokine-mediated signaling pathway [GO:0019221]; eyelid development in camera-type eye [GO:0061029]; hematopoietic progenitor cell differentiation [GO:0002244]; mesodermal cell differentiation [GO:0048333]; negative regulation of hair follicle development [GO:0051799]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of ovulation [GO:0060279]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; response to aldosterone [GO:1904044]; SMAD protein signal transduction [GO:0060395]; transcription by RNA polymerase II [GO:0006366]
A4D286,A4D286_HUMAN,Similar to Nuclear protein Hcc-1 (HSPC316) (Proliferation associated cytokine-inducible protein CIP29),LOC402290 tcag7.1306,nucleus [GO:0005634]; poly(A)+ mRNA export from nucleus [GO:0016973]
A4FU96,A4FU96_HUMAN,BMP6 protein,BMP6,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; BMP signaling pathway [GO:0030509]
A4FU97,A4FU97_HUMAN,BMP6 protein,BMP6,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; BMP signaling pathway [GO:0030509]
A4IF52,A4IF52_HUMAN,GPHB5 protein,GPHB5,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; regulation of thyroid hormone mediated signaling pathway [GO:0002155]
A4QPA4,A4QPA4_HUMAN,IL28RA protein,IL28RA,membrane [GO:0016020]; cytokine receptor activity [GO:0004896]
A5HJZ4,A5HJZ4_HUMAN,Truncated interferon-gamma receptor 1,IFNGR1,membrane [GO:0016020]; cytokine receptor activity [GO:0004896]; type II interferon-mediated signaling pathway [GO:0060333]
A5YM40,A5YM40_HUMAN,Transforming growth factor beta,TGFB3 hCG_20489,cell surface [GO:0009986]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]; secretory granule [GO:0030141]; T-tubule [GO:0030315]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; protein-containing complex binding [GO:0044877]; type II transforming growth factor beta receptor binding [GO:0005114]; type III transforming growth factor beta receptor binding [GO:0034714]; digestive tract development [GO:0048565]; embryonic neurocranium morphogenesis [GO:0048702]; female pregnancy [GO:0007565]; frontal suture morphogenesis [GO:0060364]; inner ear development [GO:0048839]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell division [GO:0051781]; positive regulation of MAPK cascade [GO:0043410]; response to estrogen [GO:0043627]; response to hypoxia [GO:0001666]; response to laminar fluid shear stress [GO:0034616]; transforming growth factor beta receptor signaling pathway [GO:0007179]
A6MUU8,A6MUU8_HUMAN,Macrophage migration inhibitory factor (EC 5.3.2.1) (EC 5.3.3.12) (L-dopachrome isomerase) (L-dopachrome tautomerase) (Phenylpyruvate tautomerase),MIF,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; phenylpyruvate tautomerase activity [GO:0050178]
A6NC98,CC88B_HUMAN,Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3),CCDC88B BRLZ,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; dynein light intermediate chain binding [GO:0051959]; microtubule binding [GO:0008017]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; defense response to protozoan [GO:0042832]; positive regulation of cytokine production [GO:0001819]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell proliferation [GO:0042102]
A6NDB9,PALM3_HUMAN,Paralemmin-3,PALM3,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; regulation of cell shape [GO:0008360]; response to lipopolysaccharide [GO:0032496]; Toll signaling pathway [GO:0008063]
A6NFB4,A6NFB4_HUMAN,"Chorionic somatomammotropin hormone 1 (HCG1749481, isoform CRA_k)",CSH1 hCG_1749481,extracellular region [GO:0005576]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]
A6NHG8,A6NHG8_HUMAN,TNF receptor-associated factor (EC 2.3.2.27),TRAF3,cytoplasm [GO:0005737]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]; innate immune response [GO:0045087]; regulation of apoptotic process [GO:0042981]; regulation of cytokine production [GO:0001817]; regulation of defense response to virus [GO:0050688]; Toll signaling pathway [GO:0008063]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
A6NI73,LIRA5_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),LILRA5 ILT11 LILRB7 LIR9,cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; inhibitory MHC class I receptor activity [GO:0032396]; cytokine-mediated signaling pathway [GO:0019221]; immune response-regulating signaling pathway [GO:0002764]; innate immune response [GO:0045087]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-13 production [GO:0032696]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell activation [GO:0050867]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of tumor necrosis factor production [GO:0032760]
A6NIT4,A6NIT4_HUMAN,Chorionic somatomammotropin hormone 2 isoform 2,CSH2,extracellular space [GO:0005615]; growth factor activity [GO:0008083]; growth hormone receptor binding [GO:0005131]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]; animal organ development [GO:0048513]; growth hormone receptor signaling pathway [GO:0060396]; positive regulation of growth [GO:0045927]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to nutrient levels [GO:0031667]
A6NKQ9,CGB1_HUMAN,Choriogonadotropin subunit beta variant 1,CGB1,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]
A6XAA7,A6XAA7_HUMAN,Gremlin,GREM1 hCG_1811964,cell surface [GO:0009986]; extracellular space [GO:0005615]; BMP binding [GO:0036122]; cytokine activity [GO:0005125]; transmembrane receptor protein tyrosine kinase activator activity [GO:0030297]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; cardiac muscle cell differentiation [GO:0055007]; cardiac muscle cell myoblast differentiation [GO:0060379]; cell migration involved in sprouting angiogenesis [GO:0002042]; cell-cell signaling [GO:0007267]; embryonic limb morphogenesis [GO:0030326]; mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003337]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of monocyte chemotaxis [GO:0090027]; negative regulation of osteoblast differentiation [GO:0045668]; positive regulation of angiogenesis [GO:0045766]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of peptidyl-tyrosine autophosphorylation [GO:1900086]; positive regulation of receptor internalization [GO:0002092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proximal/distal pattern formation [GO:0009954]; regulation of focal adhesion assembly [GO:0051893]; sequestering of BMP from receptor via BMP binding [GO:0038098]; ureteric bud formation [GO:0060676]
A6XMH3,A6XMH3_HUMAN,Prolactin,,extracellular space [GO:0005615]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]; prolactin receptor binding [GO:0005148]; female pregnancy [GO:0007565]; lactation [GO:0007595]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of lactation [GO:1903489]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; response to nutrient levels [GO:0031667]
A7Y161,A7Y161_HUMAN,Luteinizing hormone beta subunit,LHB,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; ovulation [GO:0030728]
A8E4L7,A8E4L7_HUMAN,Receptor-type tyrosine-protein phosphatase F,PTPRS,receptor complex [GO:0043235]; protein tyrosine phosphatase activity [GO:0004725]
A8K147,A8K147_HUMAN,Multifunctional fusion protein [Includes: Fibroblast growth factor 1 (Acidic fibroblast growth factor) (Heparin-binding growth factor 1); Fibroblast growth factor (FGF)],,cell cortex [GO:0005938]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; lung development [GO:0030324]; positive regulation of cell division [GO:0051781]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; wound healing [GO:0042060]
A8K1P5,A8K1P5_HUMAN,Fibroblast growth factor (FGF),FGF13 FGF1C hCG_14696,cytosol [GO:0005829]; dendrite [GO:0030425]; filopodium [GO:0030175]; growth cone [GO:0030426]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; microtubule [GO:0005874]; nucleus [GO:0005634]; sarcolemma [GO:0042383]; beta-tubulin binding [GO:0048487]; growth factor activity [GO:0008083]; microtubule binding [GO:0008017]; sodium channel regulator activity [GO:0017080]; transmembrane transporter binding [GO:0044325]; branching morphogenesis of a nerve [GO:0048755]; cerebral cortex cell migration [GO:0021795]; hippocampus development [GO:0021766]; inhibitory synapse assembly [GO:1904862]; learning [GO:0007612]; memory [GO:0007613]; microtubule polymerization [GO:0046785]; negative regulation of microtubule depolymerization [GO:0007026]; neuron migration [GO:0001764]; protein localization to plasma membrane [GO:0072659]; regulation of cardiac muscle cell action potential involved in regulation of contraction [GO:0098909]; sodium ion transport [GO:0006814]
A8K1Z4,A8K1Z4_HUMAN,"cDNA FLJ76704, highly similar to Homo sapiens leukemia inhibitory factor receptor (LIFR), mRNA",,external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]; ciliary neurotrophic factor receptor binding [GO:0005127]; cytokine binding [GO:0019955]; oncostatin-M receptor activity [GO:0004924]; positive regulation of cell population proliferation [GO:0008284]
A8K2E3,A8K2E3_HUMAN,Leptin receptor (OB receptor),,basolateral plasma membrane [GO:0016323]; external side of plasma membrane [GO:0009897]; lateral plasma membrane [GO:0016328]; receptor complex [GO:0043235]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]
A8K309,A8K309_HUMAN,CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I),,basolateral plasma membrane [GO:0016323]; extracellular region [GO:0005576]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; cytokine receptor activity [GO:0004896]; hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]; inflammatory response [GO:0006954]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]
A8K3F7,A8K3F7_HUMAN,"Interleukin 11 (cDNA, FLJ96313, Homo sapiens interleukin 11 (IL11), mRNA)",IL11 hCG_37996,cytoplasm [GO:0005737]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; interleukin-11 receptor binding [GO:0005142]; cell population proliferation [GO:0008283]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]
A8K3H9,A8K3H9_HUMAN,"cDNA FLJ75649, highly similar to Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian) (RELB), mRNA",,"cytoplasm [GO:0005737]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; canonical NF-kappaB signal transduction [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; non-canonical NF-kappaB signal transduction [GO:0038061]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to cytokine [GO:0034097]"
A8K3U3,A8K3U3_HUMAN,"cDNA FLJ77863, highly similar to Homo sapiens secreted and transmembrane 1 (SECTM1), mRNA",,membrane [GO:0016020]; cytokine activity [GO:0005125]; immune response [GO:0006955]
A8K407,A8K407_HUMAN,"cDNA FLJ77083, highly similar to Homo sapiens NACHT, leucine rich repeat and PYD containing 12 (NALP12), transcript variant 2, mRNA",,cytoplasm [GO:0005737]; cellular response to cytokine stimulus [GO:0071345]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; positive regulation of MHC class I biosynthetic process [GO:0045345]
A8K494,A8K494_HUMAN,Lactotransferrin,,early endosome [GO:0005769]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; iron ion binding [GO:0005506]; serine-type endopeptidase activity [GO:0004252]; antibacterial humoral response [GO:0019731]; antifungal humoral response [GO:0019732]; iron ion transport [GO:0006826]; ossification [GO:0001503]; proteolysis [GO:0006508]; regulation of cytokine production [GO:0001817]
A8K4B5,A8K4B5_HUMAN,"cDNA FLJ75152, highly similar to Homo sapiens butyrophilin, subfamily 3, member A2 (BTN3A2), mRNA",,external side of plasma membrane [GO:0009897]; signaling receptor binding [GO:0005102]; regulation of cytokine production [GO:0001817]; T cell receptor signaling pathway [GO:0050852]
A8K4K4,A8K4K4_HUMAN,"cDNA FLJ78027, highly similar to Homo sapiens mitogen-activated protein kinase-activated protein kinase 3, mRNA",,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; mitogen-activated protein kinase binding [GO:0051019]; intracellular signal transduction [GO:0035556]; response to cytokine [GO:0034097]; toll-like receptor signaling pathway [GO:0002224]
A8K4S9,A8K4S9_HUMAN,Signal transducer and activator of transcription,,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; regulation of cell population proliferation [GO:0042127]"
A8K547,A8K547_HUMAN,"cDNA FLJ77123, highly similar to Homo sapiens butyrophilin, subfamily 3, member A1 (BTN3A1), transcript variant 2, mRNA",,external side of plasma membrane [GO:0009897]; signaling receptor binding [GO:0005102]; regulation of cytokine production [GO:0001817]; T cell receptor signaling pathway [GO:0050852]
A8K571,A8K571_HUMAN,"Bone morphogenetic protein 7 (Osteogenic protein 1), isoform CRA_b (cDNA FLJ78019, highly similar to Homo sapiens bone morphogenetic protein 7 (osteogenic protein 1), mRNA) (cDNA, FLJ92758, Homo sapiens bone morphogenetic protein 7 (osteogenic protein 1)(BMP7), mRNA)",BMP7 hCG_40100,collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; vesicle [GO:0031982]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; allantois development [GO:1905069]; ameloblast differentiation [GO:0036305]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; branching involved in salivary gland morphogenesis [GO:0060445]; branching morphogenesis of an epithelial tube [GO:0048754]; cardiac muscle tissue development [GO:0048738]; cardiac septum morphogenesis [GO:0060411]; chorio-allantoic fusion [GO:0060710]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic limb morphogenesis [GO:0030326]; embryonic pattern specification [GO:0009880]; embryonic skeletal joint morphogenesis [GO:0060272]; endocardial cushion formation [GO:0003272]; heart trabecula morphogenesis [GO:0061384]; hindbrain development [GO:0030902]; mesenchymal cell apoptotic process involved in nephron morphogenesis [GO:1901145]; mesoderm formation [GO:0001707]; metanephric mesenchymal cell proliferation involved in metanephros development [GO:0072136]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis [GO:0072040]; negative regulation of neurogenesis [GO:0050768]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of prostatic bud formation [GO:0060686]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural fold elevation formation [GO:0021502]; odontogenesis of dentin-containing tooth [GO:0042475]; pericardium morphogenesis [GO:0003344]; pharyngeal system development [GO:0060037]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:1905312]; positive regulation of epithelial cell differentiation [GO:0030858]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of branching involved in prostate gland morphogenesis [GO:0060687]; regulation of phosphorylation [GO:0042325]; response to estradiol [GO:0032355]; response to peptide hormone [GO:0043434]; response to vitamin D [GO:0033280]; ureteric bud development [GO:0001657]
A8K5I6,A8K5I6_HUMAN,"cDNA FLJ78643, highly similar to Homo sapiens cornulin (CRNN), mRNA",,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; transition metal ion binding [GO:0046914]; cellular response to cytokine stimulus [GO:0071345]; positive regulation of cell cycle G1/S phase transition [GO:1902808]
A8K673,A8K673_HUMAN,Interleukin-7 (IL-7),,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; interleukin-7 receptor binding [GO:0005139]; immune response [GO:0006955]
A8K694,A8K694_HUMAN,"cDNA FLJ78712, highly similar to Homo sapiens bone morphogenetic protein 5 (BMP5), mRNA",,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]
